Iterations,Ln(change)
561,-5.015236606782412
562,-5.023500785100628
563,-5.031762647018419
564,-5.04002219181314
565,-5.0482794187484075
566,-5.0565343270832965
567,-5.064786916059583
568,-5.0730371849116045
569,-5.081285132866928
570,-5.089530759139138
571,-5.097774062931225
572,-5.106015043446409
573,-5.114253699869143
574,-5.1224900313833075
575,-5.130724037158632
576,-5.1389557163595745
577,-5.1471850681527425
578,-5.155412091677834
579,-5.1636367860874985
580,-5.1718591505164975
581,-5.180079184097563
582,-5.188296885954334
583,-5.196512255213806
584,-5.204725290983319
585,-5.212935992379997
586,-5.221144358504727
587,-5.229350388462541
588,-5.237554081347323
589,-5.24575543625615
590,-5.2539544522728026
591,-5.262151128489166
592,-5.270345463984247
593,-5.278537457838569
594,-5.28672710912843
595,-5.294914416931958
596,-5.303099380313825
597,-5.3112819983542465
598,-5.319462270110145
599,-5.327640194658392
600,-5.335815771059609
601,-5.343988998381378
602,-5.352159875679166
603,-5.360328402026454
604,-5.368494576475254
605,-5.376658398093843
606,-5.384819865939307
607,-5.392978979078893
608,-5.401135736564329
609,-5.40929013747093
610,-5.417442180851281
611,-5.425591865775161
612,-5.433739191301559
613,-5.4418841565033365
614,-5.450026760437766
615,-5.458167002188188
616,-5.466304880810386
617,-5.474440395385518
618,-5.482573544984881
619,-5.4907043286847665
620,-5.498832745565609
621,-5.506958794706258
622,-5.5150824751960625
623,-5.523203786118868
624,-5.531322726566803
625,-5.539439295625904
626,-5.547553492402016
627,-5.555665315990473
628,-5.563774765494363
629,-5.5718818400217955
630,-5.579986538690899
631,-5.588088860601988
632,-5.5961888048875
633,-5.604286370663983
634,-5.612381557068485
635,-5.620474363221654
636,-5.628564788268819
637,-5.636652831353058
638,-5.644738491617888
639,-5.652821768217486
640,-5.6609026603086745
641,-5.668981167048401
642,-5.677057287617961
643,-5.685131021183145
644,-5.693202366923742
645,-5.701271324026081
646,-5.709337891682597
647,-5.717402069083392
648,-5.725463855445042
649,-5.733523249964735
650,-5.74158025186587
651,-5.749634860367847
652,-5.757687074700093
653,-5.765736894095784
654,-5.7737843177993176
655,-5.781829345064252
656,-5.789871975139725
657,-5.797912207288391
658,-5.80595004078573
659,-5.813985474909521
660,-5.822018508939312
661,-5.830049142172638
662,-5.8380773739025065
663,-5.846103203442135
664,-5.854126630104486
665,-5.862147653207571
666,-5.870166272091965
667,-5.878182486081108
668,-5.8861962945392206
669,-5.894207696809287
670,-5.902216692252509
671,-5.910223280245238
672,-5.918227460168021
673,-5.926229231398009
674,-5.934228593345138
675,-5.942225545403444
676,-5.950220086984116
677,-5.958212217520765
678,-5.966201936434713
679,-5.974189243163839
680,-5.982174137161155
681,-5.990156617882104
682,-5.998136684792612
683,-6.006114337365838
684,-6.014089575087235
685,-6.0220623974465814
686,-6.03003280395138
687,-6.038000794113743
688,-6.045966367456297
689,-6.05392952350497
690,-6.06189026178808
691,-6.069848581878934
692,-6.07780448332862
693,-6.085757965687453
694,-6.093709028561778
695,-6.101657671525404
696,-6.109603894174504
697,-6.117547696122821
698,-6.125489076977495
699,-6.133428036386348
700,-6.141364573956673
701,-6.1492986893616015
702,-6.157230382253435
703,-6.165159652299747
704,-6.173086499159364
705,-6.181010922559571
706,-6.188932922156282
707,-6.196852497680373
708,-6.204769648856561
709,-6.212684375390479
710,-6.220596677040386
711,-6.228506553552
712,-6.23641400468885
713,-6.2443190302154985
714,-6.252221629913025
715,-6.260121803580714
716,-6.268019551022035
717,-6.275914872034349
718,-6.283807766463183
719,-6.291698234118325
720,-6.299586274871228
721,-6.307471888564226
722,-6.315355075066585
723,-6.323235834249229
724,-6.331114166015853
725,-6.338990070250755
726,-6.346863546873465
727,-6.354734595799937
728,-6.362603216971648
729,-6.370469410322012
730,-6.378333175810114
731,-6.386194513392387
732,-6.39405342306491
733,-6.401909904790666
734,-6.409763958584294
735,-6.417615584457844
736,-6.42546478242454
737,-6.4333115525072255
738,-6.44115589476766
739,-6.448997809249946
740,-6.456837296017675
741,-6.464674355150959
742,-6.472508986746077
743,-6.480341190887023
744,-6.488170967699509
745,-6.495998317285674
746,-6.503823239789218
747,-6.511645735369226
748,-6.519465804162489
749,-6.527283446332579
750,-6.535098662079919
751,-6.542911451575657
752,-6.550721815026317
753,-6.558529752640724
754,-6.566335264653094
755,-6.5741383512931115
756,-6.5819390128138515
757,-6.589737249453337
758,-6.597533061497526
759,-6.605326449233063
760,-6.613117412942349
761,-6.620905952933266
762,-6.628692069520468
763,-6.636475763031669
764,-6.6442570338050535
765,-6.652035882186378
766,-6.659812308546023
767,-6.667586313247274
768,-6.675357896686073
769,-6.683127059248551
770,-6.690893801357687
771,-6.6986581234070615
772,-6.706420025847314
773,-6.714179509116914
774,-6.7219365736656185
775,-6.7296912199601016
776,-6.737443448480986
777,-6.745193259699908
778,-6.752940654146594
779,-6.7606856323105
780,-6.7684281947169485
781,-6.77616834191507
782,-6.78390607442431
783,-6.791641392811622
784,-6.799374297660265
785,-6.807104789544781
786,-6.814832869052654
787,-6.822558536782523
788,-6.830281793343208
789,-6.838002639389068
790,-6.845721075535025
791,-6.8534371024262235
792,-6.861150720748716
793,-6.868861931152599
794,-6.876570734335994
795,-6.884277130968196
796,-6.891981121789267
797,-6.899682707493211
798,-6.907381888827613
799,-6.915078666527981
800,-6.92277304131878
801,-6.930465013999222
802,-6.938154585349601
803,-6.945841756112991
804,-6.953526527121407
805,-6.9612088991806225
806,-6.96888887310288
807,-6.9765664497196935
808,-6.984241629880609
809,-6.991914414443017
810,-6.99958480427346
811,-7.007252800209007
812,-7.014918403201517
813,-7.022581614115221
814,-7.030242433864819
815,-7.03790086337306
816,-7.0455569035757915
817,-7.053210555402298
818,-7.060861819842872
819,-7.068510697823499
820,-7.076157190340018
821,-7.083801298410067
822,-7.0914430229831655
823,-7.0990823650893695
824,-7.10671932577241
825,-7.114353906044685
826,-7.121986106960518
827,-7.129615929569414
828,-7.1372433749268165
829,-7.144868444139862
830,-7.152491138274754
831,-7.160111458432519
832,-7.167729405735183
833,-7.1753449812894345
834,-7.182958186248211
835,-7.190569021729348
836,-7.198177488903948
837,-7.205783588931687
838,-7.213387322994884
839,-7.220988692275336
840,-7.228587697970817
841,-7.236184341293021
842,-7.243778623449966
843,-7.251370545692198
844,-7.258960109217745
845,-7.2665473153381495
846,-7.274132165283011
847,-7.28171466030962
848,-7.289294801719079
849,-7.29687259081834
850,-7.304448028900627
851,-7.31202111726738
852,-7.3195918572469445
853,-7.327160250196201
854,-7.334726297454273
855,-7.342290000350061
856,-7.349851360278196
857,-7.357410378638854
858,-7.364967056758802
859,-7.372521396071234
860,-7.380073398005525
861,-7.38762306393418
862,-7.395170395343489
863,-7.40271539360408
864,-7.410258060239583
865,-7.41779839663737
866,-7.425336404308846
867,-7.4328720847580865
868,-7.440405439416229
869,-7.447936469819783
870,-7.455465177506858
871,-7.462991563939578
872,-7.470515630647741
873,-7.47803737924663
874,-7.485556811187022
875,-7.4930739281391165
876,-7.500588731581067
877,-7.508101223112221
878,-7.515611404375174
879,-7.523119276916593
880,-7.53062484238882
881,-7.538128102355606
882,-7.5456290584592995
883,-7.553127712407789
884,-7.560624065740698
885,-7.568118120215325
886,-7.575609877444923
887,-7.583099339099934
888,-7.590586506925336
889,-7.598071382542401
890,-7.60555396774514
891,-7.6130342641612305
892,-7.620512273549191
893,-7.627987997636811
894,-7.635461438209484
895,-7.6429325969848385
896,-7.6504014757161185
897,-7.657868076169313
898,-7.665332400167271
899,-7.672794449484363
900,-7.680254225866593
901,-7.687711731203739
902,-7.695166967290621
903,-7.7026199359420255
904,-7.7100706389533125
905,-7.717519078220498
906,-7.72496525559707
907,-7.732409172893403
908,-7.739850832065425
909,-7.747290234934491
910,-7.754727383383955
911,-7.762162279345028
912,-7.769594924698816
913,-7.7770253214066
914,-7.78445347129828
915,-7.791879376420187
916,-7.799303038605637
917,-7.806724459886098
918,-7.814143642173995
919,-7.821560587488667
920,-7.82897529775226
921,-7.836387774957199
922,-7.843798021108539
923,-7.851206038213184
924,-7.8586118282465005
925,-7.8660153932802865
926,-7.873416735316994
927,-7.880815856379857
928,-7.888212758506926
929,-7.895607443729313
930,-7.902999914173857
931,-7.910390171848567
932,-7.917778218845031
933,-7.92516405729843
934,-7.932547689144279
935,-7.939929116658736
936,-7.9473083418521275
937,-7.9546853668985955
938,-7.962060193837844
939,-7.969432824873832
940,-7.9768032620913445
941,-7.984171507689654
942,-7.99153756377687
943,-7.99890143255025
944,-8.006263116113553
945,-8.013622616733212
946,-8.020979936574452
947,-8.028335077710139
948,-8.035688042493465
949,-8.043038833081292
950,-8.050387451623708
951,-8.057733900462765
952,-8.065078181701715
953,-8.072420297664053
954,-8.079760250562588
955,-8.087098042591595
956,-8.09443367613091
957,-8.10176715331721
958,-8.109098476553589
959,-8.11642764793985
960,-8.123754669926479
961,-8.131079544772915
962,-8.138402274765621
963,-8.145722862124993
964,-8.153041309292764
965,-8.160357618480054
966,-8.167671792141535
967,-8.174983832494028
968,-8.182293741986584
969,-8.189601522815986
970,-8.196907177451271
971,-8.204210708240241
972,-8.211512117522737
973,-8.218811407671012
974,-8.22610858106869
975,-8.233403640205863
976,-8.240696587298265
977,-8.247987424786015
978,-8.255276155196034
979,-8.262562780758174
980,-8.269847304131941
981,-8.27712972757539
982,-8.284410053468887
983,-8.29168828434099
984,-8.298964422674493
985,-8.30623847085585
